令和3年経済センサス‐活動調査　製造業（地域別統計表データ）　令和5(2023)年12月15日訂正,,,,,,,,,,,
,,,,,,,,,,,
１．都道府県別、東京特別区・政令指定都市別統計表,,,,,,,,,,,
"Statistical Tables by Prefecture, Tokyo Special Wards and Government-designated Cities",,,,,,,,,,,
第１表  産業中分類別事業所数、従業者数、事業に従事する者の人件費及び派遣受入者に係る人材派遣会社への支払額、原材料・燃料・電力の使用額等、製造品出荷額等及び付加価値額（従業者４人以上の事業所）,,,,,,,,,,,
"Number of establishments, Number of employees, Total cash wages and salaries paid for persons engaged and temporary staff services, Cost of raw materials, fuels and electricity consumed, Value of manufactured goods shipments, and Value added, by Industry (2-digit industrial classification) (Establishments with 4 or more employees)",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,事業所数,従業者数,事業に従事する者の人件費及び派遣受入者に係る人材派遣会社への支払額,原材料・燃料・電力の使用額等,製造品出荷額等,付加価値額（従業者29人以下は粗付加価値額）
時間軸コード,年次,産業中分類コード,産業中分類名,都道府県、東京特別区・政令指定都市コード,都道府県、東京特別区・政令指定都市名,,人,百万円,百万円,百万円,百万円
2020000000,2020,00,製造業計,00,全国計,176858,7465556,34854721,183993248,302003273,96825529
2020000000,2020,00,製造業計,01,北海道,5072,163337,613963,3429500,5587227,1744631
2020000000,2020,00,製造業計,02,青森県,1272,55763,198848,1035532,1676471,522756
2020000000,2020,00,製造業計,03,岩手県,1866,84349,317526,1640776,2494299,719913
2020000000,2020,00,製造業計,04,宮城県,2593,111794,464139,2616403,4357999,1354445
2020000000,2020,00,製造業計,05,秋田県,1535,58468,211894,696906,1307827,518560
2020000000,2020,00,製造業計,06,山形県,2277,97429,379517,1557520,2832284,1079592
2020000000,2020,00,製造業計,07,福島県,3279,154274,654375,2763754,4766985,1638642
2020000000,2020,00,製造業計,08,茨城県,4813,264266,1273778,7193763,12177310,4195419
2020000000,2020,00,製造業計,09,栃木県,3903,195131,924349,4580642,8235252,2668132
2020000000,2020,00,製造業計,10,群馬県,4530,212329,969752,4986915,7888919,2514655
2020000000,2020,00,製造業計,11,埼玉県,10102,379482,1689255,7552756,12862957,4545899
2020000000,2020,00,製造業計,12,千葉県,4748,206017,969325,7396849,11926431,3136467
2020000000,2020,00,製造業計,13,東京都,9738,238817,1189849,3824097,7080474,2840291
2020000000,2020,00,製造業計,14,神奈川県,7202,348312,1858244,9573095,15835278,4952775
2020000000,2020,00,製造業計,15,新潟県,4822,177842,703375,2540220,4753251,1853281
2020000000,2020,00,製造業計,16,富山県,2569,122216,541111,2098125,3651778,1293518
2020000000,2020,00,製造業計,17,石川県,2512,94507,414256,1545094,2626806,896933
2020000000,2020,00,製造業計,18,福井県,2013,71389,300895,1234300,2143081,752299
2020000000,2020,00,製造業計,19,山梨県,1676,72124,349148,1361471,2530220,1075746
2020000000,2020,00,製造業計,20,長野県,4825,198141,916559,3626983,6043116,2055284
2020000000,2020,00,製造業計,21,岐阜県,5298,199058,865016,3287050,5614933,1960092
2020000000,2020,00,製造業計,22,静岡県,8602,401827,1910966,9715641,16451286,5579256
2020000000,2020,00,製造業計,23,愛知県,14593,807694,4371521,30141095,43987965,11871752
2020000000,2020,00,製造業計,24,三重県,3245,201632,1021730,6508872,10491865,3178527
2020000000,2020,00,製造業計,25,滋賀県,2614,165297,853358,4289525,7597075,2803226
2020000000,2020,00,製造業計,26,京都府,3952,139615,675779,2427331,5270360,2167112
2020000000,2020,00,製造業計,27,大阪府,14412,417816,2002973,9948265,16975793,5703073
2020000000,2020,00,製造業計,28,兵庫県,7106,347873,1796462,9255767,15249899,5091423
2020000000,2020,00,製造業計,29,奈良県,1578,57218,240984,975512,1715739,638888
2020000000,2020,00,製造業計,30,和歌山県,1465,50917,211601,1394108,2383457,758736
2020000000,2020,00,製造業計,31,鳥取県,749,30379,108415,471445,741344,215759
2020000000,2020,00,製造業計,32,島根県,1001,40812,156628,682558,1165087,394583
2020000000,2020,00,製造業計,33,岡山県,3234,147627,677480,4627359,7060138,1768808
2020000000,2020,00,製造業計,34,広島県,4812,207756,1007759,5832809,8869857,2630865
2020000000,2020,00,製造業計,35,山口県,1725,95292,460653,3251524,5616940,1864269
2020000000,2020,00,製造業計,36,徳島県,1068,44485,200875,777264,1795341,840000
2020000000,2020,00,製造業計,37,香川県,1851,68820,292642,1700132,2528966,701436
2020000000,2020,00,製造業計,38,愛媛県,2117,77030,328868,2554485,3804128,1011411
2020000000,2020,00,製造業計,39,高知県,931,23127,82444,324952,547159,182302
2020000000,2020,00,製造業計,40,福岡県,5094,220530,967021,5840174,8951854,2469052
2020000000,2020,00,製造業計,41,佐賀県,1250,62001,256961,1222097,2028346,695583
2020000000,2020,00,製造業計,42,長崎県,1386,52842,221156,926566,1622930,569683
2020000000,2020,00,製造業計,43,熊本県,1866,89466,406352,1572850,2819547,1044091
2020000000,2020,00,製造業計,44,大分県,1404,64493,281618,2646496,3846291,929808
2020000000,2020,00,製造業計,45,宮崎県,1300,53580,194541,875838,1636752,609192
2020000000,2020,00,製造業計,46,鹿児島県,2023,69396,250956,1240805,1982830,617165
2020000000,2020,00,製造業計,47,沖縄県,835,22986,69804,248029,469427,170201
2020000000,2020,00,製造業計,61,札幌市,952,28853,104800,340466,644492,270576
2020000000,2020,00,製造業計,62,仙台市,525,15400,63793,454548,818366,211731
2020000000,2020,00,製造業計,63,さいたま市,825,27011,114811,427752,827666,335995
2020000000,2020,00,製造業計,64,千葉市,447,21683,110325,903118,1214537,242347
2020000000,2020,00,製造業計,65,東京特別区,7457,130726,606842,1531119,2998631,1313615
2020000000,2020,00,製造業計,66,横浜市,2286,89055,471697,2090667,3516454,1039740
2020000000,2020,00,製造業計,67,川崎市,1032,47466,275578,2124653,3399874,870074
2020000000,2020,00,製造業計,68,相模原市,801,34813,177022,787372,1250886,409558
2020000000,2020,00,製造業計,69,新潟市,890,35097,134172,597366,1083391,407467
2020000000,2020,00,製造業計,70,静岡市,1309,48131,217366,1191585,2057410,737523
2020000000,2020,00,製造業計,71,浜松市,1783,66522,302040,1040167,1823761,676105
2020000000,2020,00,製造業計,72,名古屋市,3542,91740,451257,1705008,2993171,1091541
2020000000,2020,00,製造業計,73,京都市,2040,61518,312106,819714,2142892,851599
2020000000,2020,00,製造業計,74,大阪市,4989,110834,519865,1999326,3531494,1322697
2020000000,2020,00,製造業計,75,堺市,1209,49971,272634,2040942,3551590,982307
2020000000,2020,00,製造業計,76,神戸市,1329,67625,369687,1926374,3409011,1248062
2020000000,2020,00,製造業計,77,岡山市,850,31097,127094,537705,1012722,385162
2020000000,2020,00,製造業計,78,広島市,1147,52285,255738,1894441,2804913,899416
2020000000,2020,00,製造業計,79,北九州市,972,48106,241922,1380658,2109868,612351
2020000000,2020,00,製造業計,80,福岡市,712,21002,76492,326885,595278,209173
2020000000,2020,00,製造業計,81,熊本市,414,15752,66728,233323,430405,157770
2020000000,2020,09,食料品製造業,00,全国計,21624,1094454,3427592,17654713,29605781,10270051
2020000000,2020,09,食料品製造業,01,北海道,1670,73488,222861,1413962,2110866,593244
2020000000,2020,09,食料品製造業,02,青森県,331,15713,43064,269641,395236,110841
2020000000,2020,09,食料品製造業,03,岩手県,404,18200,49666,239259,376950,116628
2020000000,2020,09,食料品製造業,04,宮城県,632,27491,82508,423771,671564,218580
2020000000,2020,09,食料品製造業,05,秋田県,260,6628,16411,62724,97700,29718
2020000000,2020,09,食料品製造業,06,山形県,342,13995,40849,203551,323000,101777
2020000000,2020,09,食料品製造業,07,福島県,387,14483,39997,170476,279580,92215
2020000000,2020,09,食料品製造業,08,茨城県,596,41392,143221,917917,1512240,505219
2020000000,2020,09,食料品製造業,09,栃木県,372,22437,73388,350578,689912,294631
2020000000,2020,09,食料品製造業,10,群馬県,453,27764,88565,489172,827793,293540
2020000000,2020,09,食料品製造業,11,埼玉県,816,70993,221669,1136461,2056519,796373
2020000000,2020,09,食料品製造業,12,千葉県,715,51659,178681,970750,1592700,529782
2020000000,2020,09,食料品製造業,13,東京都,666,32844,109209,455252,788110,286845
2020000000,2020,09,食料品製造業,14,神奈川県,565,50709,169106,958588,1575315,534774
2020000000,2020,09,食料品製造業,15,新潟県,598,32414,100319,410655,816282,354033
2020000000,2020,09,食料品製造業,16,富山県,267,7949,22471,100432,160061,50149
2020000000,2020,09,食料品製造業,17,石川県,292,10461,29358,78307,138175,51482
2020000000,2020,09,食料品製造業,18,福井県,166,4106,11287,28143,57694,26304
2020000000,2020,09,食料品製造業,19,山梨県,158,10178,37365,139828,249005,97484
2020000000,2020,09,食料品製造業,20,長野県,594,21116,69632,317431,565572,215026
2020000000,2020,09,食料品製造業,21,岐阜県,427,17510,49524,236338,407653,148304
2020000000,2020,09,食料品製造業,22,静岡県,984,43953,145867,775481,1277734,427345
2020000000,2020,09,食料品製造業,23,愛知県,1013,62225,206750,1106885,1791406,584298
2020000000,2020,09,食料品製造業,24,三重県,369,16577,52919,311555,532118,192784
2020000000,2020,09,食料品製造業,25,滋賀県,182,10968,35252,189993,339147,124754
2020000000,2020,09,食料品製造業,26,京都府,440,20855,66873,281059,539374,222052
2020000000,2020,09,食料品製造業,27,大阪府,749,47857,158541,746577,1333494,513984
2020000000,2020,09,食料品製造業,28,兵庫県,910,53374,181437,989129,1655664,562808
2020000000,2020,09,食料品製造業,29,奈良県,158,8031,27518,112684,220963,94632
2020000000,2020,09,食料品製造業,30,和歌山県,275,7839,21713,100665,190646,79321
2020000000,2020,09,食料品製造業,31,鳥取県,147,6612,19126,84090,142688,49359
2020000000,2020,09,食料品製造業,32,島根県,204,5239,11958,42376,78613,31388
2020000000,2020,09,食料品製造業,33,岡山県,323,19279,63163,308232,543917,201467
2020000000,2020,09,食料品製造業,34,広島県,490,25246,78210,339979,594599,221479
2020000000,2020,09,食料品製造業,35,山口県,318,11638,33482,122733,221715,86271
2020000000,2020,09,食料品製造業,36,徳島県,225,6771,19846,103399,161506,50455
2020000000,2020,09,食料品製造業,37,香川県,366,13799,43263,227627,375837,125140
2020000000,2020,09,食料品製造業,38,愛媛県,318,13302,37117,178256,295131,101114
2020000000,2020,09,食料品製造業,39,高知県,190,5121,14487,52324,91969,35031
2020000000,2020,09,食料品製造業,40,福岡県,811,45192,127888,593498,1039588,389966
2020000000,2020,09,食料品製造業,41,佐賀県,255,16669,52280,222710,397600,150659
2020000000,2020,09,食料品製造業,42,長崎県,341,12514,34023,155837,264378,94903
2020000000,2020,09,食料品製造業,43,熊本県,384,14694,45197,244886,407442,129080
2020000000,2020,09,食料品製造業,44,大分県,253,6707,19543,88683,143400,45969
2020000000,2020,09,食料品製造業,45,宮崎県,326,13669,37324,262603,369825,92360
2020000000,2020,09,食料品製造業,46,鹿児島県,618,23951,66097,529551,714657,157187
2020000000,2020,09,食料品製造業,47,沖縄県,264,10842,28568,110667,190441,59297
2020000000,2020,09,食料品製造業,61,札幌市,219,13372,40142,148980,238823,75486
2020000000,2020,09,食料品製造業,62,仙台市,93,3660,9584,36270,63697,23544
2020000000,2020,09,食料品製造業,63,さいたま市,57,5795,17844,105301,221624,97016
2020000000,2020,09,食料品製造業,64,千葉市,69,6063,25621,220577,339418,99452
2020000000,2020,09,食料品製造業,65,東京特別区,452,13795,48851,181119,333743,134227
